"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
1e+06,"svd","30-34",32.5,1000,-0.0131415843315468,0.0311530995555687,-0.00467713350868248,0.0112362502478329,-7.52476319010437,0.0468341571333686,-0.421838742180557,-0.41625394642528
1e+06,"svd","35-39",37.5,1000,-0.00839637456934827,0.0268794284886434,-0.00479064079418538,0.00882996797089197,-7.16673672016926,0.0394017280956176,-0.312371766866091,-0.542543394265727
1e+06,"svd","40-44",42.5,1000,-0.00477130218624477,0.0217177603408827,-0.00420259139525154,0.00702672643128989,-6.75402026895997,0.0329677363497863,-0.219695866947339,-0.598086667575028
1e+06,"svd","45-49",47.5,1000,-0.00357643353909154,0.017480078410046,-0.00370091217290321,0.00591673355721793,-6.34155460245041,0.025950079978389,-0.204600543269653,-0.625499211197098
1e+06,"svd","50-54",52.5,1000,-0.00192236049802297,0.0149930477272343,-0.00441047912305323,0.00518813147015546,-5.93101826830349,0.0287499471299496,-0.128216793076105,-0.850109359877319
1e+06,"svd","55-59",57.5,1000,-0.00205398753452002,0.0132188419817895,-0.00664096595527493,0.00549353789317146,-5.5431915265717,0.0445772840877155,-0.155383318550114,-1.2088686897982
1e+06,"svd","60-64",62.5,1000,-0.00132064923800446,0.0115423916941931,-0.00851460430259703,0.00523741955214227,-5.10551938327063,0.0562673346856074,-0.114417295218708,-1.6257250766008
1e+06,"svd","65-69",67.5,1000,-0.000879305012603027,0.0103962718840572,-0.0101951459369897,0.0055264709653651,-4.62531761703246,0.0678324947554817,-0.0845788781218248,-1.84478413093702
1e+06,"svd","70-74",72.5,1000,-0.000906788421789706,0.00889838853516004,-0.00989323368475335,0.00528419965554673,-4.07182736488224,0.0650219890413153,-0.101904790761465,-1.87222934969321
1e+06,"svd","75-79",77.5,1000,-0.000883686578668996,0.00731639046686157,-0.00780216717709749,0.00442982348512015,-3.49607909020242,0.0514850010931134,-0.12078176836946,-1.76128173127103
1e+06,"svd","80-84",82.5,1000,-0.000339089127905812,0.00684728129636307,-0.00651933655585214,0.00376639399267262,-2.88002144208942,0.0428678086215171,-0.0495217171939349,-1.73092261949633
1e+06,"svd","85-89",87.5,1000,-0.000667722984875496,0.00707097136009494,-0.005126601821374,0.00335575313583026,-2.28563093161235,0.0324055997576375,-0.0944315781907694,-1.52770529114192
1e+06,"svd","90-94",92.5,1000,-0.000932706437997588,0.00935929350217689,-0.00345708604122648,0.00343947768274887,-1.74976839172068,0.0223293502930381,-0.0996556457793153,-1.00511948618417
